test_set,variant,acc_30-45px,acc_45-70px,acc_<30px,acc_>=70px,acc_bien_1hang,acc_bien_2hang,accuracy,cer,ci_high,ci_low,n
vn_plate,current,0.92,0.7377049180327869,1.0,0.8888888888888888,0.7555555555555555,0.8431372549019608,0.8020833333333334,0.03139467592592593,0.8694736839811154,0.7114464935801418,96
topkek,current,0.7889908256880734,0.8,0.5,1.0,0.5957446808510638,0.5543933054393305,0.566066066066066,0.1830372038705372,0.6032222654903026,0.5281520773394051,666
a1,current,0.9830508474576272,0.9411764705882353,0.8777777777777778,0.8333333333333334,0.9148936170212766,0.9230769230769231,0.9186046511627907,0.014823274270948688,0.9508977348414047,0.8680211103010416,172
