timestamp,cpu_pct,ram_used_gb,ram_total_gb,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb
2026-08-14T15:33:56,20.7,30.47,68.48,2.0,2554.0,12282.0
2026-08-14T15:34:01,11.0,31.25,68.48,3.0,2551.0,12282.0
2026-08-14T15:34:06,89.2,31.4,68.48,43.0,2542.0,12282.0
2026-08-14T15:34:11,52.2,30.62,68.48,1.0,2542.0,12282.0
2026-08-14T15:34:16,47.6,31.36,68.48,36.0,2538.0,12282.0
2026-08-14T15:34:21,89.0,30.53,68.48,1.0,2523.0,12282.0
2026-08-14T15:34:26,11.2,31.24,68.48,0.0,2516.0,12282.0
2026-08-14T15:34:31,95.6,31.41,68.48,36.0,2511.0,12282.0
2026-08-14T15:34:36,43.5,30.79,68.48,0.0,2511.0,12282.0
2026-08-14T15:34:41,57.5,31.39,68.48,37.0,2504.0,12282.0
2026-08-14T15:34:47,81.4,31.14,68.48,0.0,2504.0,12282.0
2026-08-14T15:34:52,15.4,31.34,68.48,98.0,2509.0,12282.0
2026-08-14T15:34:57,100.0,31.43,68.48,40.0,2509.0,12282.0
2026-08-14T15:35:02,36.1,30.85,68.48,1.0,2504.0,12282.0
2026-08-14T15:35:07,63.2,31.39,68.48,37.0,2504.0,12282.0
2026-08-14T15:35:12,75.9,31.21,68.48,0.0,2504.0,12282.0
2026-08-14T15:35:17,22.7,31.34,68.48,38.0,2509.0,12282.0
2026-08-14T15:35:22,100.0,31.38,68.48,41.0,2504.0,12282.0
2026-08-14T15:35:27,27.9,30.84,68.48,0.0,2504.0,12282.0
2026-08-14T15:35:32,70.3,31.37,68.48,40.0,2504.0,12282.0
2026-08-14T15:35:37,68.1,31.19,68.48,0.0,2504.0,12282.0
2026-08-14T15:35:42,30.6,31.34,68.48,40.0,2509.0,12282.0
2026-08-14T15:35:47,100.0,31.37,68.48,35.0,2504.0,12282.0
2026-08-14T15:35:52,18.6,30.95,68.48,0.0,2504.0,12282.0
2026-08-14T15:35:57,77.9,31.33,68.48,36.0,2504.0,12282.0
2026-08-14T15:36:02,64.6,31.22,68.48,52.0,2504.0,12282.0
2026-08-14T15:36:07,36.5,31.3,68.48,33.0,2508.0,12282.0
2026-08-14T15:36:12,98.6,31.33,68.48,40.0,2504.0,12282.0
2026-08-14T15:36:17,11.1,31.11,68.48,2.0,2504.0,12282.0
2026-08-14T15:36:22,84.7,31.31,68.48,37.0,2504.0,12282.0
2026-08-14T15:36:27,57.6,30.36,68.48,0.0,2504.0,12282.0
2026-08-14T15:36:32,42.9,31.31,68.48,34.0,2509.0,12282.0
2026-08-14T15:36:37,92.9,30.4,68.48,0.0,2505.0,12282.0
2026-08-14T15:36:42,10.7,31.14,68.48,0.0,2505.0,12282.0
2026-08-14T15:36:47,90.4,31.33,68.48,35.0,2506.0,12282.0
2026-08-14T15:36:53,47.8,30.68,68.48,0.0,2505.0,12282.0
2026-08-14T15:36:58,51.2,31.3,68.48,40.0,2506.0,12282.0
2026-08-14T15:37:03,86.4,30.92,68.48,0.0,2505.0,12282.0
2026-08-14T15:37:08,11.6,31.25,68.48,0.0,2505.0,12282.0
2026-08-14T15:37:13,96.7,31.32,68.48,40.0,2505.0,12282.0
2026-08-14T15:37:18,41.3,30.71,68.48,0.0,2505.0,12282.0
2026-08-14T15:37:23,58.5,31.32,68.48,36.0,2505.0,12282.0
