timestamp,cpu_pct,ram_used_gb,ram_total_gb,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb
2026-09-06T10:12:50,9.4,22.24,68.48,3.0,1387.0,12282.0
2026-09-06T10:12:55,2.7,22.1,68.48,3.0,1386.0,12282.0
2026-09-06T10:13:00,3.5,22.03,68.48,3.0,1387.0,12282.0
2026-09-06T10:13:05,10.2,23.61,68.48,0.0,1602.0,12282.0
2026-09-06T10:13:10,11.2,24.52,68.48,35.0,2808.0,12282.0
2026-09-06T10:13:15,9.6,24.48,68.48,1.0,2808.0,12282.0
2026-09-06T10:13:20,11.1,24.76,68.48,22.0,2804.0,12282.0
2026-09-06T10:13:25,9.8,24.59,68.48,11.0,2804.0,12282.0
2026-09-06T10:13:30,11.0,24.58,68.48,63.0,2804.0,12282.0
2026-09-06T10:13:35,10.0,24.41,68.48,1.0,2804.0,12282.0
2026-09-06T10:13:40,9.9,24.6,68.48,100.0,2804.0,12282.0
2026-09-06T10:13:45,12.3,23.93,68.48,2.0,2804.0,12282.0
2026-09-06T10:13:50,10.1,24.01,68.48,3.0,2804.0,12282.0
2026-09-06T10:13:55,13.4,24.13,68.48,1.0,2804.0,12282.0
2026-09-06T10:14:00,10.8,24.16,68.48,3.0,2804.0,12282.0
2026-09-06T10:14:05,14.1,24.06,68.48,1.0,2804.0,12282.0
2026-09-06T10:14:10,10.1,24.22,68.48,3.0,2804.0,12282.0
2026-09-06T10:14:15,11.0,24.02,68.48,0.0,2804.0,12282.0
2026-09-06T10:14:20,10.2,24.1,68.48,3.0,2804.0,12282.0
2026-09-06T10:14:25,11.1,23.71,68.48,0.0,2804.0,12282.0
2026-09-06T10:14:30,10.3,23.84,68.48,1.0,2804.0,12282.0
2026-09-06T10:14:35,10.6,24.27,68.48,0.0,2804.0,12282.0
2026-09-06T10:14:40,10.0,23.61,68.48,1.0,2804.0,12282.0
2026-09-06T10:14:45,10.9,24.37,68.48,5.0,2804.0,12282.0
2026-09-06T10:14:50,9.9,24.22,68.48,1.0,2804.0,12282.0
2026-09-06T10:14:55,10.7,24.32,68.48,60.0,2804.0,12282.0
2026-09-06T10:15:00,10.0,24.34,68.48,1.0,2804.0,12282.0
2026-09-06T10:15:06,10.9,24.38,68.48,39.0,2804.0,12282.0
2026-09-06T10:15:11,10.2,24.36,68.48,2.0,2804.0,12282.0
2026-09-06T10:15:16,11.9,24.6,68.48,88.0,2804.0,12282.0
2026-09-06T10:15:21,11.9,24.41,68.48,0.0,2804.0,12282.0
2026-09-06T10:15:26,10.1,24.54,68.48,11.0,2804.0,12282.0
2026-09-06T10:15:31,11.3,24.33,68.48,2.0,2804.0,12282.0
2026-09-06T10:15:36,10.4,24.46,68.48,3.0,2804.0,12282.0
2026-09-06T10:15:41,10.8,24.28,68.48,1.0,2804.0,12282.0
2026-09-06T10:15:46,39.4,23.41,68.48,1.0,2804.0,12282.0
2026-09-06T10:15:51,15.3,24.71,68.48,17.0,2812.0,12282.0
2026-09-06T10:15:56,10.3,24.64,68.48,76.0,2812.0,12282.0
2026-09-06T10:16:01,10.0,24.61,68.48,13.0,2812.0,12282.0
2026-09-06T10:16:06,10.8,24.58,68.48,3.0,2812.0,12282.0
2026-09-06T10:16:11,10.3,24.64,68.48,5.0,2812.0,12282.0
2026-09-06T10:16:16,10.9,24.43,68.48,2.0,2812.0,12282.0
2026-09-06T10:16:21,9.9,24.58,68.48,97.0,2812.0,12282.0
2026-09-06T10:16:26,10.3,24.38,68.48,2.0,2812.0,12282.0
2026-09-06T10:16:31,10.4,24.36,68.48,3.0,2812.0,12282.0
2026-09-06T10:16:36,13.1,24.3,68.48,0.0,2812.0,12282.0
2026-09-06T10:16:41,11.0,24.44,68.48,3.0,2812.0,12282.0
2026-09-06T10:16:46,11.4,24.23,68.48,1.0,2812.0,12282.0
2026-09-06T10:16:51,10.4,24.29,68.48,2.0,2812.0,12282.0
2026-09-06T10:16:56,11.1,24.08,68.48,1.0,2812.0,12282.0
2026-09-06T10:17:01,10.7,24.18,68.48,3.0,2812.0,12282.0
2026-09-06T10:17:06,10.2,23.97,68.48,1.0,2812.0,12282.0
2026-09-06T10:17:11,10.3,23.97,68.48,3.0,2812.0,12282.0
2026-09-06T10:17:16,10.5,23.77,68.48,0.0,2812.0,12282.0
2026-09-06T10:17:22,10.2,23.87,68.48,3.0,2812.0,12282.0
2026-09-06T10:17:27,10.6,23.37,68.48,0.0,2812.0,12282.0
2026-09-06T10:17:32,12.8,24.05,68.48,3.0,2812.0,12282.0
2026-09-06T10:17:37,9.8,24.53,68.48,34.0,2812.0,12282.0
2026-09-06T10:17:42,12.2,23.39,68.48,10.0,2812.0,12282.0
2026-09-06T10:17:47,10.9,24.64,68.48,23.0,2812.0,12282.0
2026-09-06T10:17:52,10.9,24.57,68.48,0.0,2812.0,12282.0
2026-09-06T10:17:57,11.4,24.55,68.48,1.0,2812.0,12282.0
2026-09-06T10:18:02,10.1,24.51,68.48,57.0,2812.0,12282.0
2026-09-06T10:18:07,11.1,24.52,68.48,0.0,2812.0,12282.0
2026-09-06T10:18:12,12.3,24.63,68.48,9.0,2817.0,12282.0
2026-09-06T10:18:17,11.2,24.69,68.48,19.0,2817.0,12282.0
2026-09-06T10:18:22,12.7,24.52,68.48,2.0,2817.0,12282.0
2026-09-06T10:18:27,27.5,21.85,68.48,0.0,1389.0,12282.0
2026-09-06T10:18:32,1.9,21.68,68.48,3.0,1379.0,12282.0
