timestamp,cpu_pct,ram_used_gb,ram_total_gb,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb
2026-08-07T23:13:43,0.0,28.84,68.48,15.0,2172.0,12282.0
2026-08-07T23:13:48,6.1,28.84,68.48,6.0,2167.0,12282.0
2026-08-07T23:13:53,5.3,29.46,68.48,6.0,2178.0,12282.0
2026-08-07T23:13:58,10.9,30.1,68.48,1.0,2379.0,12282.0
2026-08-07T23:14:04,10.5,31.26,68.48,84.0,3584.0,12282.0
2026-08-07T23:14:09,17.9,31.24,68.48,80.0,3578.0,12282.0
2026-08-07T23:14:14,13.1,30.74,68.48,4.0,3588.0,12282.0
2026-08-07T23:14:19,10.1,31.4,68.48,85.0,3599.0,12282.0
2026-08-07T23:14:24,10.8,31.06,68.48,3.0,3586.0,12282.0
2026-08-07T23:14:29,13.1,31.42,68.48,84.0,3588.0,12282.0
2026-08-07T23:14:34,16.5,31.39,68.48,80.0,3577.0,12282.0
2026-08-07T23:14:39,10.8,30.81,68.48,3.0,3575.0,12282.0
2026-08-07T23:14:44,9.7,31.39,68.48,52.0,3575.0,12282.0
2026-08-07T23:14:49,8.6,31.15,68.48,5.0,3579.0,12282.0
2026-08-07T23:14:54,12.5,31.48,68.48,83.0,3577.0,12282.0
2026-08-07T23:14:59,16.7,31.46,68.48,82.0,3575.0,12282.0
2026-08-07T23:15:04,8.6,31.16,68.48,4.0,3575.0,12282.0
2026-08-07T23:15:09,15.3,30.92,68.48,2.0,3575.0,12282.0
2026-08-07T23:15:14,8.4,31.43,68.48,6.0,3579.0,12282.0
2026-08-07T23:15:19,15.0,31.61,68.48,84.0,3576.0,12282.0
2026-08-07T23:15:24,15.2,30.44,68.48,1.0,3575.0,12282.0
2026-08-07T23:15:29,7.8,31.35,68.48,6.0,3574.0,12282.0
2026-08-07T23:15:34,9.6,30.9,68.48,3.0,3582.0,12282.0
2026-08-07T23:15:39,7.4,31.46,68.48,6.0,3575.0,12282.0
2026-08-07T23:15:44,16.5,31.36,68.48,81.0,3574.0,12282.0
2026-08-07T23:15:49,13.7,30.54,68.48,1.0,3574.0,12282.0
2026-08-07T23:15:54,7.8,31.18,68.48,6.0,3574.0,12282.0
2026-08-07T23:15:59,10.9,30.79,68.48,4.0,3584.0,12282.0
2026-08-07T23:16:04,8.7,31.43,68.48,86.0,3577.0,12282.0
2026-08-07T23:16:10,16.1,31.41,68.48,82.0,3575.0,12282.0
2026-08-07T23:16:15,14.6,30.62,68.48,1.0,3575.0,12282.0
2026-08-07T23:16:20,8.3,31.27,68.48,6.0,3575.0,12282.0
2026-08-07T23:16:25,11.0,30.84,68.48,3.0,3578.0,12282.0
2026-08-07T23:16:30,9.0,31.42,68.48,84.0,3575.0,12282.0
2026-08-07T23:16:35,16.3,31.37,68.48,73.0,3575.0,12282.0
2026-08-07T23:16:40,12.5,30.69,68.48,2.0,3575.0,12282.0
2026-08-07T23:16:45,8.4,31.35,68.48,63.0,3574.0,12282.0
2026-08-07T23:16:50,11.0,31.1,68.48,4.0,3578.0,12282.0
2026-08-07T23:16:55,12.8,31.58,68.48,82.0,3574.0,12282.0
2026-08-07T23:17:00,17.9,31.58,68.48,82.0,3574.0,12282.0
2026-08-07T23:17:05,10.9,30.89,68.48,4.0,3574.0,12282.0
2026-08-07T23:17:10,10.0,31.39,68.48,7.0,3574.0,12282.0
2026-08-07T23:17:15,7.3,31.35,68.48,6.0,3578.0,12282.0
2026-08-07T23:17:20,13.9,31.58,68.48,83.0,3574.0,12282.0
2026-08-07T23:17:25,17.5,31.51,68.48,85.0,3574.0,12282.0
2026-08-07T23:17:30,7.6,31.25,68.48,6.0,3574.0,12282.0
2026-08-07T23:17:35,9.3,30.8,68.48,1.0,3582.0,12282.0
2026-08-07T23:17:40,7.0,31.44,68.48,6.0,3575.0,12282.0
2026-08-07T23:17:45,14.2,31.52,68.48,75.0,3575.0,12282.0
2026-08-07T23:17:50,16.9,30.78,68.48,1.0,3574.0,12282.0
2026-08-07T23:17:55,12.9,31.63,68.48,6.0,3574.0,12282.0
2026-08-07T23:18:00,11.0,31.22,68.48,5.0,3591.0,12282.0
2026-08-07T23:18:05,8.3,31.91,68.48,6.0,3578.0,12282.0
2026-08-07T23:18:11,16.4,31.85,68.48,76.0,3574.0,12282.0
2026-08-07T23:18:16,13.7,31.05,68.48,1.0,3574.0,12282.0
2026-08-07T23:18:21,7.1,31.65,68.48,6.0,3574.0,12282.0
2026-08-07T23:18:26,12.0,31.15,68.48,3.0,3578.0,12282.0
2026-08-07T23:18:31,10.0,31.73,68.48,84.0,3576.0,12282.0
2026-08-07T23:18:36,15.7,31.68,68.48,82.0,3576.0,12282.0
2026-08-07T23:18:41,11.9,30.98,68.48,2.0,3576.0,12282.0
2026-08-07T23:18:46,7.9,31.72,68.48,28.0,3574.0,12282.0
2026-08-07T23:18:51,11.6,31.44,68.48,4.0,3579.0,12282.0
2026-08-07T23:18:56,11.4,31.91,68.48,85.0,3576.0,12282.0
2026-08-07T23:19:01,16.2,31.86,68.48,85.0,3576.0,12282.0
2026-08-07T23:19:06,11.7,31.27,68.48,3.0,3574.0,12282.0
2026-08-07T23:19:11,9.1,31.87,68.48,54.0,3574.0,12282.0
2026-08-07T23:19:16,7.5,31.61,68.48,5.0,3578.0,12282.0
2026-08-07T23:19:21,11.9,31.64,68.48,64.0,3576.0,12282.0
2026-08-07T23:19:26,17.0,31.62,68.48,78.0,3576.0,12282.0
2026-08-07T23:19:31,10.4,31.01,68.48,4.0,3574.0,12282.0
2026-08-07T23:19:36,11.2,30.43,68.48,1.0,3574.0,12282.0
2026-08-07T23:19:41,7.9,31.47,68.48,6.0,3578.0,12282.0
2026-08-07T23:19:46,12.8,31.65,68.48,78.0,3576.0,12282.0
2026-08-07T23:19:51,16.4,31.63,68.48,81.0,3574.0,12282.0
