thoi_diem,t_unix,nhan,p_tong_w,nhiet_do_c,xung_mhz,cpu_pct,throttled,p_0v8_aon_w,p_0v8_sw_w,p_1v1_sys_w,p_1v8_sys_w,p_3v3_adc_w,p_3v3_dac_w,p_3v3_sys_w,p_3v7_wl_sw_w,p_ddr_vdd2_w,p_ddr_vddq_w,p_hdmi_w,p_vdd_core_w
2026-09-13T13:23:12.082,1789280592.083,,1.5636,52.9,1500,0.0,0x0,0.00297,0.21655,0.20660,0.30638,0.00282,0.00222,0.17667,0.18081,0.03012,0.00000,0.07048,0.36796
2026-09-13T13:23:13.109,1789280593.109,,1.5509,51.2,1500,0.0,0x0,0.00302,0.21733,0.20370,0.30247,0.00242,0.00242,0.17777,0.18442,0.03014,0.00000,0.07305,0.35420
2026-09-13T13:23:14.135,1789280594.135,,1.3933,52.4,1500,0.2,0x0,0.00297,0.22329,0.20577,0.30768,0.00282,0.00242,0.16713,0.00725,0.03953,0.00000,0.07305,0.36140
2026-09-13T13:23:15.161,1789280595.162,,1.4381,52.4,1500,0.0,0x0,0.00311,0.21967,0.20303,0.31384,0.00282,0.00242,0.17073,0.05790,0.03131,0.00000,0.07239,0.36088
2026-09-13T13:23:16.187,1789280596.188,,1.4374,52.4,1500,0.0,0x0,0.00307,0.21929,0.20639,0.30287,0.00201,0.00222,0.18995,0.05799,0.02173,0.00000,0.07063,0.36127
2026-09-13T13:23:17.213,1789280597.214,,1.4499,51.8,1500,0.5,0x0,0.00312,0.21793,0.21542,0.30462,0.00282,0.00222,0.18418,0.05427,0.03010,0.00000,0.07356,0.36166
2026-09-13T13:23:18.240,1789280598.240,,1.5798,51.2,1500,0.0,0x0,0.00312,0.21529,0.21592,0.30462,0.00282,0.00222,0.16723,0.20560,0.03343,0.00000,0.06789,0.36166
2026-09-13T13:23:19.266,1789280599.266,,1.5835,51.2,1500,0.0,0x0,0.00312,0.21715,0.20337,0.30421,0.00242,0.00322,0.16415,0.20622,0.04082,0.00000,0.07110,0.36770
2026-09-13T13:23:20.292,1789280600.293,,1.3940,51.8,1500,0.2,0x0,0.00297,0.21703,0.20444,0.30896,0.00242,0.00242,0.16461,0.00362,0.03655,0.00000,0.06993,0.38107
2026-09-13T13:23:21.318,1789280601.319,,1.4148,51.8,1500,0.2,0x0,0.00297,0.21627,0.20411,0.30813,0.00201,0.00222,0.20640,0.00362,0.03459,0.00000,0.07305,0.36140
2026-09-13T13:23:22.345,1789280602.345,,1.4890,51.2,1500,0.2,0x0,0.00302,0.21861,0.28426,0.30594,0.00282,0.00242,0.18330,0.00000,0.04527,0.00000,0.06916,0.37425
2026-09-13T13:23:23.371,1789280603.371,,1.5490,51.8,1500,0.0,0x0,0.00322,0.21705,0.20350,0.30537,0.00241,0.00242,0.15824,0.18804,0.03677,0.00000,0.07112,0.36088
